2025-07-28 03:00:38 | INFO | __main__:run_simple_workflow:150 | Starting the simple workflow...
2025-07-28 03:00:38 | INFO | __main__:run_simple_workflow:161 | 简化测试配置: 20240101 到 20241215, 股票: 000001.SZ
2025-07-28 03:00:38 | INFO | __main__:run_simple_workflow:179 | Simple workflow started with chain ID: adb81f50-8928-4688-aac7-2805a4cf1dc8
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:53 | Starting the full daily workflow...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:66 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:69 | 创建数据同步任务组...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:83 | 创建因子计算任务组...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:96 | 创建AI模型训练任务...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:105 | 创建批量预测任务...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:113 | 创建数据质量检查任务...
2025-07-28 03:16:50 | INFO | __main__:run_full_workflow:128 | Workflow started with chain ID: 1b988733-9393-4f7e-960e-e20712b51512
2025-07-28 03:16:50 | ERROR | __main__:run_full_workflow:141 | 等待工作流完成时出错: not enough values to unpack (expected 3, got 0)
2025-07-28 03:17:38 | INFO | __main__:run_simple_workflow:154 | Starting the simple workflow...
2025-07-28 03:17:38 | INFO | __main__:run_simple_workflow:165 | 简化测试配置: 20240101 到 20241215, 股票: 000001.SZ
2025-07-28 03:17:39 | INFO | __main__:run_simple_workflow:183 | Simple workflow started with chain ID: 84a6bd5b-a3df-4f05-a1a8-fe853a7d6d12
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:53 | Starting the full daily workflow...
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:66 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:69 | 创建数据同步任务组...
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:83 | 创建因子计算任务组...
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:96 | 创建AI模型训练任务...
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:105 | 创建批量预测任务...
2025-07-28 03:18:43 | INFO | __main__:run_full_workflow:113 | 创建数据质量检查任务...
2025-07-28 03:18:44 | INFO | __main__:run_full_workflow:128 | Workflow started with chain ID: 10172db2-88c3-4eaa-b3e8-cd2cc64c3d6b
2025-07-28 03:18:45 | ERROR | __main__:run_full_workflow:141 | 等待工作流完成时出错: not enough values to unpack (expected 3, got 0)
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:53 | Starting the full daily workflow...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:66 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:69 | 创建数据同步任务组...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:83 | 创建因子计算任务组...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:96 | 创建AI模型训练任务...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:105 | 创建批量预测任务...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:113 | 创建数据质量检查任务...
2025-07-28 04:44:49 | INFO | __main__:run_full_workflow:128 | Workflow started with chain ID: 9e3d9353-c66e-4a53-a429-e6bca4759201
2025-07-28 23:43:22 | INFO | __main__:run_simple_workflow:154 | Starting the simple workflow...
2025-07-28 23:43:22 | INFO | __main__:run_simple_workflow:165 | 简化测试配置: 20240101 到 20241215, 股票: 000001.SZ
2025-07-28 23:43:22 | INFO | __main__:run_simple_workflow:183 | Simple workflow started with chain ID: 05bf4620-c346-4e9f-a74c-98c69bc021e9
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:53 | Starting the full daily workflow...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:66 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:69 | 创建数据同步任务组...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:83 | 创建因子计算任务组...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:96 | 创建AI模型训练任务...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:105 | 创建批量预测任务...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:113 | 创建数据质量检查任务...
2025-07-28 23:52:20 | INFO | __main__:run_full_workflow:128 | Workflow started with chain ID: 4fd335f4-093c-4285-b9e2-540d066ca25b
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:54 | Starting the full daily workflow...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:67 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:70 | 创建数据同步任务组...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:84 | 创建因子计算任务组...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:97 | 创建AI模型训练任务...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:106 | 创建批量预测任务...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:114 | 创建数据质量检查任务...
2025-07-29 00:05:34 | INFO | __main__:run_full_workflow:129 | Workflow started with chain ID: 047e0ba0-c3fa-464f-bff5-6c46378a8f4a
2025-07-29 00:05:34 | ERROR | __main__:run_full_workflow:186 | Failed to start workflow: name 'time' is not defined
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:55 | Starting the full daily workflow...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:68 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:71 | 创建数据同步任务组...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:85 | 创建因子计算任务组...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:98 | 创建AI模型训练任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:107 | 创建批量预测任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:115 | 创建数据质量检查任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:130 | Workflow started with chain ID: c976b18a-1faa-4a8d-b22a-a9879ea8acaf
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:56 | Starting the full daily workflow...
