2025-07-28 02:59:51 | INFO | __main__:show_database_status:212 | 数据库状态概览:
2025-07-28 03:03:08 | INFO | __main__:show_database_status:212 | 数据库状态概览:
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:157 | 开始清空核心数据表...
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily
2025-07-28 03:03:18 | ERROR | __main__:clear_table:147 | ❌ 清空表 stock_daily 时出错: Not an executable object: 'DELETE FROM stock_daily'
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily_basic
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 stock_daily_basic 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: financial_reports
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 financial_reports 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: factor_library
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 factor_library 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: prediction_results
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 prediction_results 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: ai_predictions
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 ai_predictions 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: data_quality_reports
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 data_quality_reports 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: sync_logs
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 sync_logs 不存在，跳过清理
2025-07-28 03:03:18 | INFO | __main__:clear_core_tables:166 | 正在清理表: calculation_logs
2025-07-28 03:03:18 | INFO | __main__:clear_table:121 | 表 calculation_logs 不存在，跳过清理
2025-07-28 03:03:24 | INFO | __main__:show_database_status:212 | 数据库状态概览:
2025-07-28 03:03:51 | INFO | __main__:show_database_status:212 | 数据库状态概览:
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:157 | 开始清空核心数据表...
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily
2025-07-28 03:04:01 | ERROR | __main__:clear_table:147 | ❌ 清空表 stock_daily 时出错: Not an executable object: 'DELETE FROM stock_daily'
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily_basic
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 stock_daily_basic 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: financial_reports
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 financial_reports 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: factor_library
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 factor_library 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: prediction_results
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 prediction_results 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: ai_predictions
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 ai_predictions 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: data_quality_reports
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 data_quality_reports 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: sync_logs
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 sync_logs 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_core_tables:166 | 正在清理表: calculation_logs
2025-07-28 03:04:01 | INFO | __main__:clear_table:121 | 表 calculation_logs 不存在，跳过清理
2025-07-28 03:04:01 | INFO | __main__:clear_optional_tables:185 | 开始清空可选数据表: ['stock_basic', 'trade_calendar']
2025-07-28 03:04:01 | INFO | __main__:clear_optional_tables:199 | 正在清理表: stock_basic
2025-07-28 03:04:01 | ERROR | __main__:clear_table:147 | ❌ 清空表 stock_basic 时出错: Not an executable object: 'DELETE FROM stock_basic'
2025-07-28 03:04:01 | INFO | __main__:clear_optional_tables:199 | 正在清理表: trade_calendar
2025-07-28 03:04:01 | ERROR | __main__:clear_table:147 | ❌ 清空表 trade_calendar 时出错: Not an executable object: 'DELETE FROM trade_calendar'
2025-07-28 03:04:10 | INFO | __main__:show_database_status:212 | 数据库状态概览:
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:157 | 开始清空核心数据表...
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily
2025-07-28 03:04:46 | ERROR | __main__:clear_table:147 | ❌ 清空表 stock_daily 时出错: Not an executable object: 'DELETE FROM stock_daily'
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: stock_daily_basic
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 stock_daily_basic 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: financial_reports
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 financial_reports 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: factor_library
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 factor_library 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: prediction_results
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 prediction_results 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: ai_predictions
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 ai_predictions 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: data_quality_reports
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 data_quality_reports 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: sync_logs
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 sync_logs 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_core_tables:166 | 正在清理表: calculation_logs
2025-07-28 03:04:46 | INFO | __main__:clear_table:121 | 表 calculation_logs 不存在，跳过清理
2025-07-28 03:04:46 | INFO | __main__:clear_optional_tables:185 | 开始清空可选数据表: ['stock_basic', 'trade_calendar']
2025-07-28 03:04:46 | INFO | __main__:clear_optional_tables:199 | 正在清理表: stock_basic
2025-07-28 03:04:46 | ERROR | __main__:clear_table:147 | ❌ 清空表 stock_basic 时出错: Not an executable object: 'DELETE FROM stock_basic'
2025-07-28 03:04:46 | INFO | __main__:clear_optional_tables:199 | 正在清理表: trade_calendar
2025-07-28 03:04:46 | ERROR | __main__:clear_table:147 | ❌ 清空表 trade_calendar 时出错: Not an executable object: 'DELETE FROM trade_calendar'
2025-07-28 03:05:15 | INFO | __main__:show_database_status:213 | 数据库状态概览:
2025-07-28 03:05:24 | INFO | __main__:clear_core_tables:158 | 开始清空核心数据表...
